target	name	probe count	reads hit	reads tested	total size	strains
9996	Insecta_Coleoptera_Staphylinidae_Euaesthetus	0	0	16772	16972	1
9997	Insecta_Coleoptera_Staphylinidae_Euaesthetus_ruficapillus	1655	16608	16772	16972	1
9998	Insecta_Coleoptera_Staphylinidae_Euryusa	0	0	17378	17578	1
9999	Insecta_Coleoptera_Staphylinidae_Euryusa_optabilis	1882	17306	17378	17578	1
10000	Insecta_Coleoptera_Staphylinidae_Eusphalerum	0	0	18080	18280	1
10001	Insecta_Coleoptera_Staphylinidae_Eusphalerum_torquatum	1412	17568	18080	18280	1
10002	Insecta_Coleoptera_Staphylinidae_Gabronthus	0	0	16235	16435	1
10003	Insecta_Coleoptera_Staphylinidae_Gabronthus_thermarum	1850	16207	16235	16435	1
10004	Insecta_Coleoptera_Staphylinidae_Gyrohypnus	0	0	17403	17603	1
10005	Insecta_Coleoptera_Staphylinidae_Gyrohypnus_fracticornis	2027	17403	17403	17603	1
10006	Insecta_Coleoptera_Staphylinidae_Habrocerus	0	0	14083	14283	1
10007	Insecta_Coleoptera_Staphylinidae_Habrocerus_capillaricornis	1417	12716	14083	14283	1
10008	Insecta_Coleoptera_Staphylinidae_Ischnosoma	0	0	17767	17967	1
10009	Insecta_Coleoptera_Staphylinidae_Ischnosoma_splendidum	2006	17691	17767	17967	1
10010	Insecta_Coleoptera_Staphylinidae_Lathrobium	0	0	18440	18640	1
10011	Insecta_Coleoptera_Staphylinidae_Lathrobium_brunnipes	1975	18440	18440	18640	1
10012	Insecta_Coleoptera_Staphylinidae_Liogluta	0	0	17082	17282	1
10013	Insecta_Coleoptera_Staphylinidae_Liogluta_microptera	1557	16978	17082	17282	1
10014	Insecta_Coleoptera_Staphylinidae_Lucifotychus	2143	17300	17300	17500	1
10015	Insecta_Coleoptera_Staphylinidae_Medon	7	6	34721	35121	2
10016	Insecta_Coleoptera_Staphylinidae_Medon_apicalis	1793	18510	18516	18716	1
10017	Insecta_Coleoptera_Staphylinidae_Medon_piceus	1190	11220	16205	16405	1
10018	Insecta_Coleoptera_Staphylinidae_Myrmecocephalus	0	0	17079	17279	1
10019	Insecta_Coleoptera_Staphylinidae_Myrmecocephalus_concinnus	1655	17009	17079	17279	1
10020	Insecta_Coleoptera_Staphylinidae_Neobisnius	0	0	19295	19495	1
10021	Insecta_Coleoptera_Staphylinidae_Neobisnius_villosulus	2462	19295	19295	19495	1
10022	Insecta_Coleoptera_Staphylinidae_Neophonus	0	0	17293	17493	1
10023	Insecta_Coleoptera_Staphylinidae_Neophonus_bruchi	1912	17293	17293	17493	1
10024	Insecta_Coleoptera_Staphylinidae_Nudobius	0	0	17458	17658	1
10025	Insecta_Coleoptera_Staphylinidae_Nudobius_lentus	1650	17456	17458	17658	1
10026	Insecta_Coleoptera_Staphylinidae_Ocypus	2511	19784	52858	53458	3
10027	Insecta_Coleoptera_Staphylinidae_Ocypus_brunnipes	2114	16287	16421	16621	1
10028	Insecta_Coleoptera_Staphylinidae_Ocypus_ophthalmicus	1785	16683	16688	16888	1
10029	Insecta_Coleoptera_Staphylinidae_Olophrum	0	0	15477	15677	1
10030	Insecta_Coleoptera_Staphylinidae_Olophrum_piceum	1527	15477	15477	15677	1
10031	Insecta_Coleoptera_Staphylinidae_Omalium	0	0	12263	12463	1
10032	Insecta_Coleoptera_Staphylinidae_Omalium_rivulare	1278	12231	12263	12463	1
10033	Insecta_Coleoptera_Staphylinidae_Ontholestes	0	0	15492	15692	1
10034	Insecta_Coleoptera_Staphylinidae_Ontholestes_tessellatus	1776	15492	15492	15692	1
10035	Insecta_Coleoptera_Staphylinidae_Oxypoda	26	19	30972	31372	2
