target	name	probe count	reads hit	reads tested	total size	strains
1073	Actinopteri_Cypriniformes_Catostomidae_Hypentelium_nigricans	1850	16193	16426	16626	1
1074	Actinopteri_Cypriniformes_Catostomidae_Ictiobus	1217	13018	32825	33225	2
1075	Actinopteri_Cypriniformes_Catostomidae_Ictiobus_bubalus	303	8933	16413	16613	1
1076	Actinopteri_Cypriniformes_Catostomidae_Ictiobus_cyprinellus	282	7996	16412	16612	1
1077	Actinopteri_Cypriniformes_Catostomidae_Minytrema	0	0	16428	16628	1
1078	Actinopteri_Cypriniformes_Catostomidae_Minytrema_melanops	1748	16038	16428	16628	1
1079	Actinopteri_Cypriniformes_Catostomidae_Moxostoma	0	0	32865	33265	2
1080	Actinopteri_Cypriniformes_Catostomidae_Moxostoma_congestum	0	0	16427	16627	1
1081	Actinopteri_Cypriniformes_Catostomidae_Moxostoma_poecilurum	1413	16222	16438	16638	1
1082	Actinopteri_Cypriniformes_Catostomidae_Myxocyprinus	0	0	16437	16637	1
1083	Actinopteri_Cypriniformes_Catostomidae_Myxocyprinus_asiaticus	2025	16394	16437	16637	1
1084	Actinopteri_Cypriniformes_Catostomidae_Thoburnia	0	0	16427	16627	1
1085	Actinopteri_Cypriniformes_Catostomidae_Thoburnia_rhothoeca	0	0	16427	16627	1
1086	Actinopteri_Cypriniformes_Catostomidae_Xyrauchen	0	0	16435	16635	1
1087	Actinopteri_Cypriniformes_Catostomidae_Xyrauchen_texanus	1716	16050	16435	16635	1
1088	Actinopteri_Cypriniformes_Cobitidae	5685	44610	885165	895965	54
1089	Actinopteri_Cypriniformes_Cobitidae_Acantopsis	0	0	16401	16601	1
1090	Actinopteri_Cypriniformes_Cobitidae_Acantopsis_choirorhynchos	1793	16294	16401	16601	1
1091	Actinopteri_Cypriniformes_Cobitidae_Ambastaia	0	0	16375	16575	1
1092	Actinopteri_Cypriniformes_Cobitidae_Ambastaia_sidthimunki	1511	16118	16375	16575	1
1093	Actinopteri_Cypriniformes_Cobitidae_Aperioptus	0	0	16404	16604	1
1094	Actinopteri_Cypriniformes_Cobitidae_Aperioptus_gracilentus	1905	16312	16404	16604	1
1095	Actinopteri_Cypriniformes_Cobitidae_Botia	328	818	32787	33187	2
1096	Actinopteri_Cypriniformes_Cobitidae_Botia_lohachata	1362	15791	16395	16595	1
1097	Actinopteri_Cypriniformes_Cobitidae_Botia_udomritthiruji	1363	15617	16392	16592	1
1098	Actinopteri_Cypriniformes_Cobitidae_Canthophrys	0	0	16362	16562	1
1099	Actinopteri_Cypriniformes_Cobitidae_Canthophrys_gongota	2116	16346	16362	16562	1
1100	Actinopteri_Cypriniformes_Cobitidae_Chromobotia	0	0	16738	16938	1
1101	Actinopteri_Cypriniformes_Cobitidae_Chromobotia_macracanthus	1691	16614	16738	16938	1
1102	Actinopteri_Cypriniformes_Cobitidae_Cobitis	1172	5275	147579	149379	9
1103	Actinopteri_Cypriniformes_Cobitidae_Cobitis_biwae	1282	15761	16443	16643	1
1104	Actinopteri_Cypriniformes_Cobitidae_Cobitis_choii	1815	16207	16367	16567	1
1105	Actinopteri_Cypriniformes_Cobitidae_Cobitis_elongatoides	1442	14880	16342	16542	1
1106	Actinopteri_Cypriniformes_Cobitidae_Cobitis_lutheri	1694	15953	16440	16640	1
1107	Actinopteri_Cypriniformes_Cobitidae_Cobitis_matsubarai	1465	15536	16375	16575	1
1108	Actinopteri_Cypriniformes_Cobitidae_Cobitis_melanoleuca	1728	16159	16437	16637	1
1109	Actinopteri_Cypriniformes_Cobitidae_Cobitis_sinensis	1501	13875	16354	16554	1
1110	Actinopteri_Cypriniformes_Cobitidae_Cobitis_striata	1497	15205	16373	16573	1
1111	Actinopteri_Cypriniformes_Cobitidae_Cobitis_takatsuensis	1395	15758	16448	16648	1
1112	Actinopteri_Cypriniformes_Cobitidae_Iksookimia	12	0	32789	33189	2
1113	Actinopteri_Cypriniformes_Cobitidae_Iksookimia_koreensis	1676	16112	16364	16564	1
1114	Actinopteri_Cypriniformes_Cobitidae_Iksookimia_longicorpa	1343	15589	16425	16625	1
1115	Actinopteri_Cypriniformes_Cobitidae_Kichulchoia	0	0	16370	16570	1
1116	Actinopteri_Cypriniformes_Cobitidae_Kichulchoia_multifasciata	1318	15462	16370	16570	1
1117	Actinopteri_Cypriniformes_Cobitidae_Koreocobitis	110	516	32740	33140	2
1118	Actinopteri_Cypriniformes_Cobitidae_Koreocobitis_naktongensis	982	9592	16368	16568	1
1119	Actinopteri_Cypriniformes_Cobitidae_Koreocobitis_rotundicaudata	1627	15895	16372	16572	1
1120	Actinopteri_Cypriniformes_Cobitidae_Kottelatlimia	0	0	16389	16589	1
1121	Actinopteri_Cypriniformes_Cobitidae_Kottelatlimia_pristes	1914	16320	16389	16589	1
1122	Actinopteri_Cypriniformes_Cobitidae_Lepidocephalichthys	16	105	32777	33177	2
1123	Actinopteri_Cypriniformes_Cobitidae_Lepidocephalichthys_guntea	1538	12359	16368	16568	1
1124	Actinopteri_Cypriniformes_Cobitidae_Lepidocephalichthys_micropogon	1954	16359	16409	16609	1
1125	Actinopteri_Cypriniformes_Cobitidae_Lepidocephalus	0	0	16357	16557	1
1126	Actinopteri_Cypriniformes_Cobitidae_Lepidocephalus_macrochir	2007	16327	16357	16557	1
1127	Actinopteri_Cypriniformes_Cobitidae_Leptobotia	1577	30932	98269	99469	6
1128	Actinopteri_Cypriniformes_Cobitidae_Leptobotia_elongata	242	5931	16392	16592	1
1129	Actinopteri_Cypriniformes_Cobitidae_Leptobotia_mantschurica	758	14069	16389	16589	1
1130	Actinopteri_Cypriniformes_Cobitidae_Leptobotia_microphthalma	115	3916	16313	16513	1
1131	Actinopteri_Cypriniformes_Cobitidae_Leptobotia_pellegrini	1183	15303	16396	16596	1
1132	Actinopteri_Cypriniformes_Cobitidae_Leptobotia_rubrilabris	490	8528	16386	16586	1
1133	Actinopteri_Cypriniformes_Cobitidae_Leptobotia_taeniops	1147	14965	16393	16593	1
1134	Actinopteri_Cypriniformes_Cobitidae_Misgurnus	875	10173	81989	82989	5
1135	Actinopteri_Cypriniformes_Cobitidae_Misgurnus_anguillicaudatus	2	354	32814	33214	2
1136	Actinopteri_Cypriniformes_Cobitidae_Misgurnus_bipartitus	1643	16095	16437	16637	1
1137	Actinopteri_Cypriniformes_Cobitidae_Misgurnus_mohoity	1134	15145	16367	16567	1
1138	Actinopteri_Cypriniformes_Cobitidae_Misgurnus_nikolskyi	1188	15121	16371	16571	1
1139	Actinopteri_Cypriniformes_Cobitidae_Niwaella	0	0	16372	16572	1
1140	Actinopteri_Cypriniformes_Cobitidae_Niwaella_delicata	1811	16094	16372	16572	1
1141	Actinopteri_Cypriniformes_Cobitidae_Pangio	2148	18580	82001	83001	5
1142	Actinopteri_Cypriniformes_Cobitidae_Pangio_anguillaris	1645	15920	16403	16603	1
1143	Actinopteri_Cypriniformes_Cobitidae_Pangio_cuneovirgata	1605	15814	16397	16597	1
1144	Actinopteri_Cypriniformes_Cobitidae_Pangio_kuhlii	1652	16118	16402	16602	1
1145	Actinopteri_Cypriniformes_Cobitidae_Pangio_oblonga	1488	14761	16401	16601	1
1146	Actinopteri_Cypriniformes_Cobitidae_Parabotia	49	936	32782	33182	2
1147	Actinopteri_Cypriniformes_Cobitidae_Parabotia_banarescui	1246	14931	16391	16591	1
